age,sex,EducationLevel,Job Title,Years of Experience,fare,MoreThan5Yrs,pclass
33,female,Master's Degree,Senior Project Engineer,10,113334,1,3
52,female,PhD,Software Engineer Manager,29,194778,1,1
28,male,Bachelor's Degree,Full Stack Engineer,4,77606,0,3
36,female,Master's Degree,Senior Software Engineer,13,140010,1,1
43,male,Bachelor's Degree,Senior Project Engineer,20,142421,1,3
50,female,Master's Degree,Full Stack Engineer,24,192756,1,1
24,male,PhD,Software Engineer Manager,1,106686,0,3
52,male,Master's Degree,Senior Software Engineer,27,186794,1,1
46,female,Bachelor's Degree,Back end Developer,19,150729,1,3
38,male,Master's Degree,Full Stack Engineer,15,171652,1,1
29,male,Bachelor's Degree,Senior Project Engineer,6,88552,1,3
33,female,Master's Degree,Front end Developer,9,119918,1,1
47,male,PhD,Software Engineer Manager,21,174985,1,3
45,female,Master's Degree,Senior Software Engineer,23,174336,1,1
28,male,Bachelor's Degree,Back end Developer,4,72389,0,3
42,female,Master's Degree,Full Stack Engineer,14,163978,1,1
46,male,Bachelor's Degree,Senior Project Engineer,25,166958,1,3
38,female,PhD,Software Engineer Manager,15,145052,1,1
54,male,Master's Degree,Senior Software Engineer,32,195270,1,3
33,female,Master's Degree,Full Stack Engineer,8,122970,1,1
27,male,High School,Back end Developer,4,80247,0,3
50,female,Bachelor's Degree,Senior Project Engineer,25,177862,1,1
26,male,Master's Degree,Full Stack Engineer,4,91062,0,3
31,female,Master's Degree,Senior Software Engineer,6,114290,1,1
35,male,Bachelor's Degree,Front end Developer,10,128999,1,3
44,female,PhD,Software Engineer Manager,18,162454,1,1
32,male,Master's Degree,Senior Project Engineer,8,122354,1,3
54,male,Bachelor's Degree,Full Stack Engineer,25,179756,1,1
26,female,Master's Degree,Front end Developer,3,73218,0,3
23,male,PhD,Software Engineer Manager,0,52612,0,1
48,female,Master's Degree,Senior Software Engineer,24,184480,1,3
38,male,Bachelor's Degree,Back end Developer,12,132442,1,1
30,female,Master's Degree,Full Stack Engineer,5,102828,0,3
40,male,Master's Degree,Software Engineer Manager,16,150301,1,1
45,female,Bachelor's Degree,Senior Project Engineer,22,171468,1,3
36,male,Master's Degree,Full Stack Engineer,13,147326,1,1
52,male,PhD,Software Engineer Manager,26,185982,1,3
31,female,Bachelor's Degree,Senior Software Engineer,7,108267,1,1
26,male,Master's Degree,Full Stack Engineer,4,91397,0,3
30,female,Master's Degree,Senior Project Engineer,5,100867,0,1
24,male,Bachelor's Degree,Back end Developer,2,64182,0,3
45,male,Master's Degree,Senior Software Engineer,22,182506,1,1
33,female,Master's Degree,Full Stack Engineer,9,136986,1,3
38,male,Bachelor's Degree,Front end Developer,11,136662,1,1
54,female,PhD,Software Engineer Manager,32,191510,1,3
42,male,Master's Degree,Full Stack Engineer,19,177347,1,1
28,female,Bachelor's Degree,Senior Project Engineer,3,70397,0,3
34,male,Master's Degree,Software Engineer Manager,9,146075,1,1
46,female,Bachelor's Degree,Back end Developer,18,155795,1,3
35,male,Master's Degree,Full Stack Engineer,9,132638,1,1
49,female,PhD,Software Engineer Manager,22,178684,1,3
32,male,Bachelor's Degree,Senior Software Engineer,7,106218,1,1
54,male,Master's Degree,Full Stack Engineer,28,191239,1,3
26,female,Master's Degree,Front end Developer,2,65840,0,1
23,male,PhD,Software Engineer Manager,0,52779,0,3
48,female,Master's Degree,Senior Software Engineer,23,185038,1,1
38,male,Bachelor's Degree,Back end Developer,14,136449,1,3
30,female,Master's Degree,Full Stack Engineer,6,110707,1,1
40,male,Master's Degree,Software Engineer Manager,17,151670,1,3
45,female,Bachelor's Degree,Senior Project Engineer,21,167015,1,1
36,male,Master's Degree,Full Stack Engineer,13,146508,1,3
52,male,PhD,Software Engineer Manager,27,190596,1,1
31,female,Bachelor's Degree,Senior Software Engineer,6,104378,1,3
26,male,Master's Degree,Full Stack Engineer,3,70216,0,1
30,female,Master's Degree,Senior Project Engineer,5,101733,0,3
24,male,Bachelor's Degree,Back end Developer,1,55935,0,1
45,male,Master's Degree,Senior Software Engineer,21,180367,1,3
33,female,Master's Degree,Full Stack Engineer,9,135596,1,1
38,male,Bachelor's Degree,Front end Developer,11,136062,1,3
54,female,PhD,Software Engineer Manager,32,191267,1,1
42,male,Master's Degree,Full Stack Engineer,19,177347,1,3
28,female,Bachelor's Degree,Senior Project Engineer,3,70397,0,1
34,male,Master's Degree,Software Engineer Manager,9,146075,1,3
46,female,Bachelor's Degree,Back end Developer,18,155795,1,1
35,male,Master's Degree,Full Stack Engineer,9,132638,1,3
49,female,PhD,Software Engineer Manager,22,178684,1,1
32,male,Bachelor's Degree,Senior Software Engineer,7,106218,1,3
54,male,Master's Degree,Full Stack Engineer,28,191239,1,1
26,female,Master's Degree,Front end Developer,2,65840,0,3
23,male,PhD,Software Engineer Manager,0,52779,0,1
48,female,Master's Degree,Senior Software Engineer,23,185038,1,3
38,male,Bachelor's Degree,Back end Developer,14,136449,1,1
30,female,Master's Degree,Full Stack Engineer,6,110707,1,3
40,male,Master's Degree,Software Engineer Manager,17,151670,1,1
45,female,Bachelor's Degree,Senior Project Engineer,21,167015,1,3
36,male,Master's Degree,Full Stack Engineer,13,146508,1,1
52,male,PhD,Software Engineer Manager,27,190596,1,3
31,female,Bachelor's Degree,Senior Software Engineer,6,104378,1,1
26,male,Master's Degree,Full Stack Engineer,3,70216,0,3
30,female,Master's Degree,Senior Project Engineer,5,101733,0,1
24,male,Bachelor's Degree,Back end Developer,1,55935,0,3
45,male,Master's Degree,Senior Software Engineer,21,180367,1,1
33,female,Master's Degree,Full Stack Engineer,9,135596,1,3
38,male,Bachelor's Degree,Front end Developer,11,136062,1,1
54,female,PhD,Software Engineer Manager,32,191267,1,3
42,male,Master's Degree,Full Stack Engineer,19,177347,1,1
29,female,Bachelor's Degree,Full Stack Engineer,6,103579,1,3
45,male,Master's Degree,Software Engineer Manager,19,163780,1,1
36,male,Bachelor's Degree,Front end Developer,12,137878,1,3
30,female,Master's Degree,Senior Project Engineer,4,92438,0,1
28,male,Master's Degree,Full Stack Engineer,5,84181,0,3
46,female,PhD,Software Engineer Manager,21,174821,1,1
34,male,Bachelor's Degree,Back end Developer,10,126520,1,3
44,male,Master's Degree,Senior Software Engineer,18,152168,1,1
55,female,PhD,Software Engineer Manager,29,190543,1,3
35,male,Master's Degree,Full Stack Engineer,9,131547,1,1
54,male,Bachelor's Degree,Senior Project Engineer,28,192292,1,3
23,female,High School,Back end Developer,1,52807,0,1
46,male,Master's Degree,Senior Software Engineer,20,174938,1,3
33,female,Bachelor's Degree,Full Stack Engineer,8,124071,1,1
26,male,Master's Degree,Front end Developer,3,73640,0,3
43,female,PhD,Software Engineer Manager,19,156486,1,1
36,male,Master's Degree,Full Stack Engineer,11,138859,1,3
23,female,Bachelor's Degree,Senior Project Engineer,0,52831,0,1
49,male,Master's Degree,Software Engineer Manager,23,182392,1,3
35,female,Master's Degree,Full Stack Engineer,11,151078,1,1
31,male,Bachelor's Degree,Back end Developer,8,100679,1,3
54,Other,High School,Senior Software Engineer,29,158966,1,1
43,male,Master's Degree,Full Stack Engineer,20,167924,1,3
33,female,Master's Degree,Senior Project Engineer,10,113334,1,1
52,female,PhD,Software Engineer Manager,29,194778,1,3
28,male,Bachelor's Degree,Full Stack Engineer,4,77606,0,1
36,female,Master's Degree,Senior Software Engineer,13,140010,1,3
43,male,Bachelor's Degree,Senior Project Engineer,20,142421,1,1
50,female,Master's Degree,Full Stack Engineer,24,192756,1,3
24,male,PhD,Software Engineer Manager,1,106686,0,1
52,male,Master's Degree,Senior Software Engineer,27,186794,1,3
46,female,Bachelor's Degree,Back end Developer,19,150729,1,1
38,male,Master's Degree,Full Stack Engineer,15,171652,1,3
29,male,Bachelor's Degree,Senior Project Engineer,6,88552,1,1
33,female,Master's Degree,Front end Developer,9,119918,1,3
47,male,PhD,Software Engineer Manager,21,174985,1,1
45,female,Master's Degree,Senior Software Engineer,23,174336,1,3
28,male,Bachelor's Degree,Back end Developer,4,72389,0,1
42,female,Master's Degree,Full Stack Engineer,14,163978,1,3
46,male,Bachelor's Degree,Senior Project Engineer,25,166958,1,1
38,female,PhD,Software Engineer Manager,15,145052,1,3
54,male,Master's Degree,Senior Software Engineer,32,195270,1,1
33,female,Master's Degree,Full Stack Engineer,8,122970,1,3
27,male,High School,Back end Developer,4,80247,0,1
50,female,Bachelor's Degree,Senior Project Engineer,25,177862,1,3
26,male,Master's Degree,Full Stack Engineer,4,91062,0,1
31,female,Master's Degree,Senior Software Engineer,6,114290,1,3
35,male,Bachelor's Degree,Front end Developer,10,128999,1,1
44,female,PhD,Software Engineer Manager,18,162454,1,3
32,male,Master's Degree,Senior Project Engineer,8,122354,1,1
54,male,Bachelor's Degree,Full Stack Engineer,25,179756,1,3
26,female,Master's Degree,Front end Developer,3,73218,0,1
23,male,PhD,Software Engineer Manager,0,52612,0,3
48,female,Master's Degree,Senior Software Engineer,23,185038,1,1
38,male,Bachelor's Degree,Back end Developer,12,132442,1,3
30,female,Master's Degree,Full Stack Engineer,5,102828,0,1
40,male,Master's Degree,Software Engineer Manager,16,150301,1,3
45,female,Bachelor's Degree,Senior Project Engineer,22,171468,1,1
36,male,Master's Degree,Full Stack Engineer,13,147326,1,3
52,male,PhD,Software Engineer Manager,26,185982,1,1
31,female,Bachelor's Degree,Senior Software Engineer,7,108267,1,3
26,male,Master's Degree,Full Stack Engineer,3,91397,0,1
30,female,Master's Degree,Senior Project Engineer,5,100867,0,3
24,male,Bachelor's Degree,Back end Developer,2,64182,0,1
45,male,Master's Degree,Senior Software Engineer,22,182506,1,3
33,female,Master's Degree,Full Stack Engineer,9,136986,1,1
38,male,Bachelor's Degree,Front end Developer,11,136662,1,3
54,female,PhD,Software Engineer Manager,32,191510,1,1
42,male,Master's Degree,Full Stack Engineer,19,177347,1,3
28,female,Bachelor's Degree,Senior Project Engineer,4,82944,0,1
48,male,PhD,Software Engineer Manager,23,188288,1,3
36,female,Master's Degree,Senior Software Engineer,14,141090,1,1
43,male,Bachelor's Degree,Full Stack Engineer,19,152726,1,3
33,female,Master's Degree,Back end Developer,9,124141,1,1
26,male,Bachelor's Degree,Front end Developer,3,67556,0,3
50,female,Master's Degree,Senior Project Engineer,22,182768,1,1
41,male,PhD,Software Engineer Manager,15,148727,1,3
29,female,Bachelor's Degree,Full Stack Engineer,6,91903,1,1
38,male,Master's Degree,Senior Software Engineer,14,147708,1,3
48,female,Bachelor's Degree,Senior Project Engineer,21,163209,1,1
31,male,Master's Degree,Full Stack Engineer,8,120288,1,3
45,male,PhD,Software Engineer Manager,21,170226,1,1
35,female,Master's Degree,Senior Software Engineer,11,134979,1,3
42,male,Bachelor's Degree,Back end Developer,16,137489,1,1
27,female,Master's Degree,Full Stack Engineer,4,83577,0,3
33,male,Bachelor's Degree,Front end Developer,9,117904,1,1
36,female,Master's Degree,Senior Project Engineer,11,134482,1,3
54,male,PhD,Software Engineer Manager,30,184660,1,1
30,female,Bachelor's Degree,Senior Software Engineer,5,100151,0,3
26,male,Master's Degree,Full Stack Engineer,3,88678,0,1
45,female,PhD,Senior Project Engineer,21,181285,1,3
38,male,Master's Degree,Software Engineer Manager,16,154990,1,1
31,female,Bachelor's Degree,Full Stack Engineer,7,108204,1,3
42,male,Master's Degree,Senior Software Engineer,19,175684,1,1
28,female,Bachelor's Degree,Back end Developer,5,77766,0,3
48,male,PhD,Software Engineer Manager,24,192211,1,1
36,female,Master's Degree,Full Stack Engineer,13,144647,1,3
43,male,Bachelor's Degree,Senior Project Engineer,20,162231,1,1
33,female,Master's Degree,Front end Developer,9,121120,1,3
26,male,Bachelor's Degree,Full Stack Engineer,4,79652,0,1
50,female,Master's Degree,Senior Software Engineer,21,177002,1,3
27,male,Master's Degree,Back end Developer,5,87584,0,1
38,female,Bachelor's Degree,Senior Project Engineer,13,131860,1,3
54,male,PhD,Software Engineer Manager,28,182013,1,1
31,female,Master's Degree,Full Stack Engineer,7,108799,1,3
36,male,Bachelor's Degree,Senior Software Engineer,13,135378,1,1
45,female,Master's Degree,Software Engineer Manager,22,183530,1,3
42,male,Bachelor's Degree,Back end Developer,18,150901,1,1
28,female,Master's Degree,Full Stack Engineer,4,82697,0,3
48,male,PhD,Senior Software Engineer,26,194638,1,1
36,female,Master's Degree,Senior Project Engineer,12,130356,1,3
43,male,Bachelor's Degree,Full Stack Engineer,18,152560,1,1
33,female,Master's Degree,Front end Developer,9,121432,1,3
26,male,Bachelor's Degree,Back end Developer,2,63789,0,1
50,female,Master's Degree,Senior Software Engineer,23,183690,1,3
41,male,PhD,Software Engineer Manager,16,151310,1,1
29,female,Bachelor's Degree,Full Stack Engineer,6,100358,1,3
38,male,Master's Degree,Senior Software Engineer,15,148437,1,1
48,female,Bachelor's Degree,Senior Project Engineer,22,168691,1,3
31,male,Master's Degree,Full Stack Engineer,8,,1,1
28,male,Bachelor's Degree,Software Developer,1,50000,0,3
32,female,Master's Degree,Product Manager,5,100000,0,1
26,male,Bachelor's Degree,Software Engineer,2,60000,0,3
33,female,Master's Degree,Data Analyst,6,90000,1,1
29,male,Bachelor's Degree,Front End Developer,3,70000,0,3
42,male,PhD,Director of Data Science,12,170000,1,1
36,female,Master's Degree,Data Scientist,8,130000,1,3
27,male,Bachelor's Degree,Software Developer,1,50000,0,1
34,female,Master's Degree,Product Manager,7,120000,1,3
29,male,Bachelor's Degree,Software Engineer,4,80000,0,1
41,female,PhD,Senior Data Scientist,16,200000,1,3
34,male,Master's Degree,Data Analyst,8,100000,1,1
24,female,Bachelor's Degree,Software Developer,2,55000,0,3
36,male,PhD,Director of Data Science,12,170000,1,1
30,female,Bachelor's Degree,Software Engineer,5,90000,0,3
29,male,Bachelor's Degree,Front End Developer,4,80000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
23,female,Bachelor's Degree,Software Engineer,1,50000,0,3
32,male,Master's Degree,Product Manager,7,110000,1,1
25,female,Master's Degree,Software Engineer,2,60000,0,3
37,male,Bachelor's Degree,Data Analyst,11,160000,1,1
28,male,Bachelor's Degree,Software Engineer,4,75000,0,3
41,female,PhD,Director of Data Science,16,200000,1,1
34,male,Master's Degree,Data Analyst,8,100000,1,3
24,female,Bachelor's Degree,Software Developer,2,55000,0,1
36,male,PhD,Senior Data Scientist,12,170000,1,3
30,female,Bachelor's Degree,Software Engineer,5,90000,0,1
29,male,Bachelor's Degree,Front End Developer,4,80000,0,3
42,male,Master's Degree,Product Manager,14,180000,1,1
26,male,Bachelor's Degree,Software Developer,2,60000,0,3
35,female,Master's Degree,Data Analyst,9,120000,1,1
27,female,Bachelor's Degree,Software Engineer,3,70000,0,3
48,male,PhD,Director of Data Science,18,210000,1,1
34,male,Master's Degree,Data Scientist,9,140000,1,3
23,female,Bachelor's Degree,Software Engineer,1,50000,0,1
32,male,Master's Degree,Product Manager,7,110000,1,3
25,female,Master's Degree,Software Engineer,2,60000,0,1
37,male,Bachelor's Degree,Data Analyst,11,160000,1,3
28,male,Bachelor's Degree,Software Engineer,4,75000,0,1
41,female,PhD,Director of Data Science,16,200000,1,3
34,male,Master's Degree,Data Analyst,8,100000,1,1
24,female,Bachelor's Degree,Software Developer,2,55000,0,3
36,male,PhD,Senior Data Scientist,12,170000,1,1
30,female,Bachelor's Degree,Software Engineer,5,90000,0,3
29,male,Bachelor's Degree,Front End Developer,4,80000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
23,female,Bachelor's Degree,Software Engineer,1,50000,0,3
32,male,Master's Degree,Product Manager,7,110000,1,1
25,female,Master's Degree,Software Engineer,2,60000,0,3
37,male,Bachelor's Degree,Data Analyst,11,160000,1,1
28,male,Bachelor's Degree,Software Engineer,4,75000,0,3
41,female,PhD,Director of Data Science,16,200000,1,1
34,male,Master's Degree,Data Analyst,8,100000,1,3
24,female,Bachelor's Degree,Software Developer,2,55000,0,1
36,male,PhD,Senior Data Scientist,12,170000,1,3
30,female,Bachelor's Degree,Software Engineer,5,90000,0,1
29,male,Bachelor's Degree,Front End Developer,4,80000,0,3
42,male,Master's Degree,Product Manager,14,180000,1,1
26,male,Bachelor's Degree,Software Developer,2,60000,0,3
35,female,Master's Degree,Data Analyst,9,120000,1,1
27,female,Bachelor's Degree,Software Engineer,3,70000,0,3
48,male,PhD,Director of Data Science,18,210000,1,1
34,male,Master's Degree,Data Scientist,9,140000,1,3
23,female,Bachelor's Degree,Software Engineer,1,50000,0,1
32,male,Master's Degree,Product Manager,7,110000,1,3
25,female,Master's Degree,Software Engineer,2,60000,0,1
37,male,Bachelor's Degree,Data Analyst,11,160000,1,3
28,male,Bachelor's Degree,Software Engineer,4,75000,0,1
41,female,PhD,Director of Data Science,16,200000,1,3
34,male,Master's Degree,Data Analyst,8,100000,1,1
24,female,Bachelor's Degree,Software Developer,2,55000,0,3
36,male,PhD,Senior Data Scientist,12,170000,1,1
30,female,Bachelor's Degree,Software Engineer,5,90000,0,3
29,male,Bachelor's Degree,Front End Developer,4,80000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
23,female,Bachelor's Degree,Software Engineer,1,50000,0,3
32,male,Master's Degree,Product Manager,7,110000,1,1
25,female,Master's Degree,Software Engineer,2,60000,0,3
37,male,Bachelor's Degree,Data Analyst,11,160000,1,1
28,male,Bachelor's Degree,Software Engineer,4,75000,0,3
41,female,PhD,Director of Data Science,16,200000,1,1
34,male,Master's Degree,Data Analyst,8,100000,1,3
24,female,Bachelor's Degree,Software Developer,2,55000,0,1
36,male,PhD,Senior Data Scientist,12,170000,1,3
30,female,Bachelor's Degree,Software Engineer,5,90000,0,1
29,male,Bachelor's Degree,Front End Developer,4,80000,0,3
42,male,Master's Degree,Product Manager,14,180000,1,1
26,male,Bachelor's Degree,Software Developer,2,60000,0,3
35,female,Master's Degree,Data Analyst,9,120000,1,1
27,female,Bachelor's Degree,Software Engineer,3,70000,0,3
48,male,PhD,Director of Data Science,18,210000,1,1
34,male,Master's Degree,Data Scientist,9,140000,1,3
23,female,Bachelor's Degree,Software Engineer,1,50000,0,1
32,male,Master's Degree,Product Manager,7,110000,1,3
25,female,Master's Degree,Software Engineer,2,60000,0,1
37,male,Bachelor's Degree,Data Analyst,11,160000,1,3
28,male,Bachelor's Degree,Software Engineer,4,75000,0,1
41,female,PhD,Director of Data Science,16,200000,1,3
34,male,Master's Degree,Data Analyst,8,100000,1,1
24,female,Bachelor's Degree,Software Developer,2,55000,0,3
36,male,PhD,Senior Data Scientist,12,170000,1,1
30,female,Bachelor's Degree,Software Engineer,5,90000,0,3
29,male,Bachelor's Degree,Front End Developer,4,80000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
30,female,Bachelor's Degree,Software Engineer,4,80000,0,3
29,male,Bachelor's Degree,Front End Developer,3,70000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
23,female,Bachelor's Degree,Software Engineer,1,50000,0,3
32,male,Master's Degree,Product Manager,7,110000,1,1
25,female,Master's Degree,Software Engineer,2,60000,0,3
37,male,Bachelor's Degree,Data Analyst,11,160000,1,1
28,male,Bachelor's Degree,Software Engineer,4,75000,0,3
41,female,PhD,Director of Data Science,16,200000,1,1
34,male,Master's Degree,Data Analyst,8,100000,1,3
24,female,Bachelor's Degree,Software Developer,2,55000,0,1
36,male,PhD,Senior Data Scientist,12,170000,1,3
30,female,Bachelor's Degree,Software Engineer,5,90000,0,1
29,male,Bachelor's Degree,Front End Developer,4,80000,0,3
42,male,Master's Degree,Product Manager,14,180000,1,1
26,male,Bachelor's Degree,Software Developer,2,60000,0,3
35,female,Master's Degree,Data Analyst,9,120000,1,1
27,female,Bachelor's Degree,Software Engineer,3,70000,0,3
48,male,PhD,Director of Data Science,18,210000,1,1
34,male,Master's Degree,Data Scientist,9,140000,1,3
23,female,Bachelor's Degree,Software Engineer,1,50000,0,1
32,male,Master's Degree,Product Manager,7,110000,1,3
25,female,Master's Degree,Software Engineer,2,60000,0,1
37,male,Bachelor's Degree,Data Analyst,11,160000,1,3
28,male,Bachelor's Degree,Software Engineer,4,75000,0,1
41,female,PhD,Director of Data Science,16,200000,1,3
34,male,Master's Degree,Data Analyst,8,100000,1,1
24,female,Bachelor's Degree,Software Developer,2,55000,0,3
36,male,PhD,Senior Data Scientist,12,170000,1,1
30,female,Bachelor's Degree,Software Engineer,5,90000,0,3
29,male,Bachelor's Degree,Front End Developer,4,80000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
23,female,Bachelor's Degree,Software Engineer,1,50000,0,3
32,male,Master's Degree,Product Manager,7,110000,1,1
25,female,Master's Degree,Software Engineer,2,60000,0,3
37,male,Bachelor's Degree,Data Analyst,11,160000,1,1
28,male,Bachelor's Degree,Software Engineer,4,75000,0,3
41,female,PhD,Director of Data Science,16,200000,1,1
34,male,Master's Degree,Data Analyst,8,100000,1,3
24,female,Bachelor's Degree,Software Developer,2,55000,0,1
36,male,PhD,Senior Data Scientist,12,170000,1,3
30,female,Bachelor's Degree,Software Engineer,5,90000,0,1
29,male,Bachelor's Degree,Front End Developer,4,80000,0,3
42,male,Master's Degree,Product Manager,14,180000,1,1
26,male,Bachelor's Degree,Software Developer,2,60000,0,3
35,female,Master's Degree,Data Analyst,9,120000,1,1
27,female,Bachelor's Degree,Software Engineer,3,70000,0,3
48,male,PhD,Director of Data Science,18,210000,1,1
34,male,Master's Degree,Data Scientist,9,140000,1,3
23,female,Bachelor's Degree,Software Engineer,1,50000,0,1
32,male,Master's Degree,Product Manager,7,110000,1,3
25,female,Master's Degree,Software Engineer,2,60000,0,1
37,male,Bachelor's Degree,Data Analyst,11,160000,1,3
28,male,Bachelor's Degree,Software Engineer,4,75000,0,1
41,female,PhD,Director of Data Science,16,200000,1,3
34,male,Master's Degree,Data Analyst,8,100000,1,1
24,female,Bachelor's Degree,Software Developer,2,55000,0,3
36,male,PhD,Senior Data Scientist,12,170000,1,1
30,female,Bachelor's Degree,Software Engineer,5,90000,0,3
29,male,Bachelor's Degree,Front End Developer,4,80000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
23,female,Bachelor's Degree,Software Engineer,1,50000,0,3
32,male,Master's Degree,Product Manager,7,110000,1,1
25,female,Master's Degree,Software Engineer,2,60000,0,3
37,male,Bachelor's Degree,Data Analyst,11,160000,1,1
28,male,Bachelor's Degree,Software Engineer,4,75000,0,3
41,female,PhD,Director of Data Science,16,200000,1,1
34,male,Master's Degree,Data Analyst,8,100000,1,3
24,female,Bachelor's Degree,Software Developer,2,55000,0,1
36,male,PhD,Senior Data Scientist,12,170000,1,3
30,female,Bachelor's Degree,Software Engineer,5,90000,0,1
29,male,Bachelor's Degree,Front End Developer,4,80000,0,3
42,male,Master's Degree,Product Manager,14,180000,1,1
26,male,Bachelor's Degree,Software Developer,2,60000,0,3
35,female,Master's Degree,Data Analyst,9,120000,1,1
27,female,Bachelor's Degree,Software Engineer,3,70000,0,3
48,male,PhD,Director of Data Science,18,210000,1,1
34,male,Master's Degree,Data Scientist,9,140000,1,3
23,female,Bachelor's Degree,Software Engineer,1,50000,0,1
32,male,Master's Degree,Product Manager,7,110000,1,3
25,female,Master's Degree,Software Engineer,2,60000,0,1
37,male,Bachelor's Degree,Data Analyst,11,160000,1,3
28,male,Bachelor's Degree,Software Engineer,4,75000,0,1
41,female,PhD,Director of Data Science,16,200000,1,3
34,male,Master's Degree,Data Analyst,8,100000,1,1
24,female,Bachelor's Degree,Software Developer,2,55000,0,3
36,male,PhD,Senior Data Scientist,12,170000,1,1
30,female,Bachelor's Degree,Software Engineer,5,90000,0,3
29,male,Bachelor's Degree,Front End Developer,4,80000,0,1
42,male,Master's Degree,Product Manager,14,180000,1,3
26,male,Bachelor's Degree,Software Developer,2,60000,0,1
35,female,Master's Degree,Data Analyst,9,120000,1,3
27,female,Bachelor's Degree,Software Engineer,3,70000,0,1
48,male,PhD,Director of Data Science,18,210000,1,3
34,male,Master's Degree,Data Scientist,9,140000,1,1
23,female,Bachelor's Degree,Software Engineer,1,50000,0,3
32,male,Master's Degree,Product Manager,7,110000,1,1
25,female,Master's Degree,Software Engineer,2,60000,0,3
37,male,Bachelor's Degree,Data Analyst,11,160000,1,1
28,male,Bachelor's Degree,Software Engineer,4,75000,0,3
41,female,PhD,Director of Data Science,16,200000,1,1
34,male,Master's Degree,Data Analyst,8,100000,1,3
24,female,Bachelor's Degree,Software Developer,2,55000,0,1
36,male,PhD,Senior Data Scientist,12,170000,1,3
30,female,Bachelor's Degree,Software Engineer,5,90000,0,1
29,male,Bachelor's Degree,Front End Developer,4,80000,0,3
42,male,Master's Degree,Product Manager,14,180000,1,1
26,male,Bachelor's Degree,Software Developer,2,60000,0,3
35,female,Master's Degree,Data Analyst,9,120000,1,1
28,male,Master's Degree,Web Developer,5,80000,0,3
30,female,Bachelor's Degree,Junior HR Coordinator,4,60000,0,1
25,male,Bachelor's Degree,Junior Web Developer,2,50000,0,3
45,female,Master's Degree,Senior Human Resources Manager,18,160000,1,1
33,male,PhD,Director of HR,9,120000,1,3
22,female,High School,Junior HR Generalist,0,40000,0,1
36,male,Bachelor's Degree,Web Developer,10,100000,1,3
29,female,Master's Degree,Senior HR Generalist,4,75000,0,1
42,male,PhD,Director of HR,16,140000,1,3
27,female,Bachelor's Degree,Junior HR Coordinator,2,50000,0,1
38,male,Master's Degree,Senior Human Resources Manager,11,110000,1,3
24,female,Bachelor's Degree,Web Developer,1,45000,0,1
31,male,High School,Junior Web Developer,4,55000,0,3
39,female,PhD,Director of HR,13,130000,1,1
26,male,Bachelor's Degree,Junior HR Generalist,2,50000,0,3
32,female,Master's Degree,Senior HR Generalist,7,80000,1,1
32,male,Bachelor's Degree,Junior Web Developer,2,45000,0,3
24,female,High School,Junior HR Generalist,1,32000,0,1
45,male,PhD,Senior Human Resources Manager,12,120000,1,3
29,female,Master's Degree,Web Developer,4,65000,0,1
